Product Card Id,Product Name,Product Price,Product Image,Product Category Id,Department Id
1360,Smart watch ,327.75,http://images.acmesports.sports/Smart+watch ,73,2
365,Perfect Fitness Perfect Rip Deck,59.99,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,17,4
627,Under Armour Girls' Toddler Spine Surge Runni,39.99,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,29,5
502,Nike Men's Dri-FIT Victory Golf Polo,50.0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,24,5
278,Under Armour Men's Compression EV SL Slide,44.99,http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide,13,3
249,Under Armour Women's Micro G Skulpt Running S,54.97,http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe,12,3
191,Nike Men's Free 5.0+ Running Shoe,99.99,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,9,3
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.99,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag,41,6
828,Bridgestone e6 Straight Distance NFL San Dieg,31.99,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...,37,6
642,Columbia Men's PFG Anchor Tough T-Shirt,30.0,http://images.acmesports.sports/Columbia+Men%27s+PFG+Anchor+Tough+T-Shirt,29,5
818,Titleist Pro V1x Golf Balls,47.99,http://images.acmesports.sports/Titleist+Pro+V1x+Golf+Balls,37,6
825,Bridgestone e6 Straight Distance NFL Tennesse,31.99,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Tennessee+Titans+Golf...,37,6
306,Polar FT4 Heart Rate Monitor,89.99,http://images.acmesports.sports/Polar+FT4+Heart+Rate+Monitor,38,6
977,ENO Atlas Hammock Straps,29.99,http://images.acmesports.sports/ENO+Atlas+Hammock+Straps,44,7
44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99,http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat,3,2
251,Brooks Women's Ghost 6 Running Shoe,89.99,http://images.acmesports.sports/Brooks+Women%27s+Ghost+6+Running+Shoe,12,3
403,Nike Men's CJ Elite 2 TD Football Cleat,129.99,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,18,4
957,Diamondback Women's Serene Classic Comfort Bi,299.98,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,43,7
1352,Industrial consumer electronics,252.88,http://images.acmesports.sports/Industrial+consumer+electronics,65,10
1349,Web Camera,452.04,http://images.acmesports.sports/Web+Camera,62,10
1351,Dell Laptop,1500.0,http://images.acmesports.sports/Dell+Laptop,64,10
60,SOLE E25 Elliptical,999.99,http://images.acmesports.sports/SOLE+E25+Elliptical,4,2
24,Elevation Training Mask 2.0,79.99,http://images.acmesports.sports/Elevation+Training+Mask+2.0,2,2
567,adidas Men's Germany Black Crest Away Tee,25.0,http://images.acmesports.sports/adidas+Men%27s+Germany+Black+Crest+Away+Tee,26,5
893,Team Golf Pittsburgh Steelers Putter Grip,24.99,http://images.acmesports.sports/Team+Golf+Pittsburgh+Steelers+Putter+Grip,40,6
924,Glove It Urban Brick Golf Towel,15.99,http://images.acmesports.sports/Glove+It+Urban+Brick+Golf+Towel,41,6
905,Team Golf Texas Longhorns Putter Grip,24.99,http://images.acmesports.sports/Team+Golf+Texas+Longhorns+Putter+Grip,40,6
564,Nike Men's Deutschland Weltmeister Winners Bl,30.0,http://images.acmesports.sports/Nike+Men%27s+Deutschland+Weltmeister+Winners+Black+T-Shirt,26,5
885,Team Golf St. Louis Cardinals Putter Grip,24.99,http://images.acmesports.sports/Team+Golf+St.+Louis+Cardinals+Putter+Grip,40,6
1363,Summer dresses,215.82,http://images.acmesports.sports/Summer+dresses,76,4
1353,Porcelain crafts,461.48,http://images.acmesports.sports/Porcelain+crafts,66,4
1357,Men's gala suit,210.85,http://images.acmesports.sports/Men+gala+suit,70,4
906,Team Golf Tennessee Volunteers Putter Grip,24.99,http://images.acmesports.sports/Team+Golf+Tennessee+Volunteers+Putter+Grip,40,6
886,Team Golf San Francisco Giants Putter Grip,24.99,http://images.acmesports.sports/Team+Golf+San+Francisco+Giants+Putter+Grip,40,6
926,Glove It Imperial Golf Towel,15.99,http://images.acmesports.sports/Glove+It+Imperial+Golf+Towel,41,6
116,Nike Men's Comfort 2 Slide,44.99,http://images.acmesports.sports/Nike+Men%27s+Comfort+2+Slide,6,2
235,Under Armour Hustle Storm Medium Duffle Bag,34.99,http://images.acmesports.sports/Under+Armour+Hustle+Storm+Medium+Duffle+Bag,11,3
273,Under Armour Kids' Mercenary Slide,27.99,http://images.acmesports.sports/Under+Armour+Kids%27+Mercenary+Slide,13,3
282,Under Armour Women's Ignite PIP VI Slide,31.99,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+PIP+VI+Slide,13,3
359,Nike Men's Free TR 5.0 TB Training Shoe,99.99,http://images.acmesports.sports/Nike+Men%27s+Free+TR+5.0+TB+Training+Shoe,16,3
565,adidas Youth Germany Black/Red Away Match Soc,70.0,http://images.acmesports.sports/adidas+Youth+Germany+Black%2FRed+Away+Match+Soccer+Jersey,26,5
572,TYR Boys' Team Digi Jammer,39.99,http://images.acmesports.sports/TYR+Boys%27+Team+Digi+Jammer,26,5
804,Glove It Women's Imperial Golf Glove,19.99,http://images.acmesports.sports/Glove+It+Women%27s+Imperial+Golf+Glove,36,6
822,Titleist Pro V1x High Numbers Golf Balls,47.99,http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Golf+Balls,37,6
835,Bridgestone e6 Straight Distance NFL Carolina,31.99,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Carolina+Panthers+Golf...,37,6
276,Under Armour Women's Ignite Slide,31.99,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+Slide,13,3
823,Titleist Pro V1x High Numbers Personalized Go,51.99,http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Personalized+Golf+Balls,37,6
203,GoPro HERO3+ Black Edition Camera,399.99,http://images.acmesports.sports/GoPro+HERO3%2B+Black+Edition+Camera,10,3
364,Total Gym 1400,299.99,http://images.acmesports.sports/Total+Gym+1400,17,4
1350,Children's heaters,357.1,http://images.acmesports.sports/Children+heaters,63,4
897,Team Golf New England Patriots Putter Grip,24.99,http://images.acmesports.sports/Team+Golf+New+England+Patriots+Putter+Grip,40,6
